,Zip Code,Total Population,Population Density (per sq. mile),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More races,Average Household Size,High school or more,Bachelor's degree or more,Master's degree or more,Civilian Population In Labor Force 16 Years And Over,Employed,Unemployed,Total Employed Civilian Population 16 Years And Over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Median household income,Average Household Income,Per Capita Income,Gini Index Of Income Inequality,Occupied Housing Units,Owner Occupied,Renter Occupied,Median House Value For All Owner-Occupied Housing Units,Median Gross Rent,Average Gross Rent,Workers 16 Years and over,"Car, truck, or van",Drove Alone,Carpooled,Public transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other means,Worked at home,Less than 10 minutes,10 to 19 minutes,20 to 29 minutes,30 to 39 minutes,40 to 59 minutes,60 to 89 minutes,90 or More minutes,Worked at home,Average Commute to Work (in min),Total Population,Native Born,Foreign Born,Naturalized Citizen,Not a Citizen
2558,10001,21966,35349.6,10732,11234,13943,2363,58,3854,0,670,1078,1.87,14585,11003,5043,14342,13037,1305,13037,11,215,543,242,1054,136,1020,2601,2768,1974,1494,667,312,81671.0,157557.0,82166.0,0.6121,11024,3007,8017,650200.0,1830.0,1888.8112760384197,12833,745,589,156,6095,0,327,4534,200,932,949,3494,3274,2215,1044,691,234,932,25.0,21966,16003,5963,2679,3284
2559,10002,82191,93461.17,39802,42389,25545,6057,176,36525,15,10758,3115,2.48,39943,18278,5309,39978,35330,4648,35330,0,781,1820,1005,3397,1375,1912,3656,5467,7029,6416,1737,735,33218.0,60346.0,26227.0,0.5622,32467,4361,28106,535600.0,848.0,1031.01117199175,34765,3772,2256,1516,19163,36,906,9144,252,1492,1534,6698,6858,9056,4899,3432,796,1492,31.0,82191,46960,35231,20088,15143
2560,10003,57310,99418.49,27442,29868,44470,2361,164,7705,12,892,1706,1.75,39857,32241,14444,36793,34309,2484,34309,31,422,940,959,2348,380,3479,6539,8396,5938,3041,1269,567,92540.0,146769.0,74189.0,0.5483,27505,8358,19147,817700.0,1855.0,1918.5721000679,33825,1770,1480,290,20448,32,828,7725,339,2683,2283,7265,10587,6547,2649,1316,495,2683,26.0,57310,46229,11081,5081,6000
2561,10004,2807,5014.745,1469,1338,2241,100,0,386,0,20,60,1.94,2048,1637,768,2203,1999,204,1999,0,47,80,17,277,34,131,561,534,185,76,18,39,129313.0,206142.0,108786.0,0.4942,1430,361,1069,894200.0,2001.0,2605.7998129092603,1966,142,121,21,1055,0,0,615,10,144,69,627,556,372,117,44,37,144,25.0,2807,2121,686,338,348
2562,10005,6822,92791.04,3463,3359,5077,104,2,1441,0,85,113,1.83,5280,4794,2209,5584,5364,220,5364,0,31,221,83,374,52,297,1595,1418,639,349,132,173,124670.0,178458.0,102849.0,0.4846,3725,560,3165,1000001.0,2001.0,2901.26382306477,5296,142,142,0,3763,0,0,1167,32,192,596,935,1415,1505,494,104,55,192,25.0,6822,4882,1940,467,1473
2563,10006,2507,27306.71,1137,1370,1759,99,0,474,0,33,142,1.56,1980,1631,817,2201,2016,185,2016,0,13,31,52,104,0,92,671,402,215,250,78,108,119274.0,149520.0,101271.0,0.4615,1598,168,1430,714300.0,2001.0,2578.1818181818203,2007,46,46,0,1234,0,17,618,0,92,301,494,479,519,122,0,0,92,21.0,2507,1925,582,225,357
2564,10007,6525,39918.16,3661,2864,4576,413,0,1027,0,158,351,2.17,4682,3842,2075,3884,3699,185,3699,0,46,136,180,137,0,109,1353,1026,385,199,92,36,216037.0,385881.0,157713.0,0.5071,2595,895,1700,1000001.0,2001.0,3134.29411764706,3657,274,246,28,2491,0,0,570,51,271,109,989,1037,905,187,109,50,271,25.0,6525,4760,1765,451,1314
2565,10009,62810,101865.2,28842,33968,37540,4496,119,9590,179,8830,2056,2.1,39942,27493,10246,37421,34747,2674,34747,0,475,1120,959,2629,932,2984,4069,6781,7266,4870,1360,1302,59929.0,85508.0,43893.0,0.5238,29565,2326,27239,672800.0,1436.0,1572.9248503983301,34224,2347,1859,488,19925,90,1775,8166,174,1747,1334,6138,7049,9248,5723,2060,925,1747,31.0,62810,47420,15390,8145,7245
2566,10010,30670,78507.05,14327,16343,21820,1820,65,4592,0,880,1493,1.75,22620,17263,7929,19386,17809,1577,17809,14,173,303,372,1264,169,1574,4156,4406,2768,1405,580,625,97955.0,145088.0,79491.0,0.5316,16004,4006,11998,746200.0,2001.0,2146.23270545091,17438,1381,1018,363,9934,23,263,4451,23,1363,866,3483,4789,4284,1713,660,280,1363,27.0,30670,23603,7067,3592,3475
2567,10011,52167,79233.23,26039,26128,40683,2150,357,5078,0,1634,2265,1.7,41210,33284,15895,36650,34306,2344,34306,16,482,1075,667,3472,336,3476,5676,8703,4988,3274,1282,859,104238.0,191483.0,110631.0,0.5801,29457,10227,19230,914500.0,1911.0,1877.28549141966,33925,1923,1705,218,20061,47,829,8611,304,2150,2162,10550,9528,5478,2350,929,778,2150,24.0,52167,41660,10507,5408,5099
