,pickup_zipcode,tip_percentage,num_trips,Population Density (per sq. mile),Gini Index Of Income Inequality,Median household income
0,10001,19.37248843,15126930,35349.6,0.6121,81671.0
1,10002,19.65447401,5335279,93461.17,0.5622,33218.0
2,10003,20.34330451,16099639,99418.49,0.5483,92540.0
3,10004,19.16634276,1112213,5014.745,0.4942,129313.0
4,10005,18.45862997,1440332,92791.04,0.4846,124670.0
5,10006,19.42821421,741461,27306.71,0.4615,119274.0
6,10007,19.455468600000003,3375589,39918.16,0.5071,216037.0
7,10009,19.66071904,5720361,101865.2,0.5238,59929.0
8,10010,20.44315203,8709146,78507.05,0.5316,97955.0
9,10011,20.48638621,15272261,79233.23,0.5801,104238.0
10,10012,20.2143454,8240167,80873.23,0.5297,86594.0
11,10013,20.12711739,8001361,47193.77,0.6524,83725.0
12,10014,20.19703151,10817223,53727.76,0.5213,108483.0
13,10016,20.30969658,14434382,96201.5,0.5124,105324.0
14,10017,21.16357834,11167907,50381.49,0.5157,100652.0
15,10018,20.94191603,6558804,21819.63,0.4921,104635.0
16,10019,20.78900599,15772820,56459.61,0.5531,84424.0
17,10020,21.70565566,731574,0.0,,
18,10021,19.62276953,8729786,105558.0,0.589,107907.0
19,10022,20.63246464,15109548,67873.23,0.5847,109019.0
20,10023,20.0907509,12522022,125003.2,0.5743,103534.0
21,10024,19.96618688,7487405,68967.46,0.5711,109956.0
22,10025,19.37826678,5752169,129571.4,0.5748,68516.0
23,10026,18.74789603,559625,113954.1,0.5473,43107.0
24,10027,18.99273381,1458768,71852.31,0.579,37872.0
25,10028,19.6271385,6989862,140990.3,0.5741,104638.0
26,10029,18.74290936,1699459,93874.63,0.5993,31888.0
27,10030,18.71042865,53286,102070.2,0.557,31925.0
28,10031,17.77381351,333589,90800.1,0.53,37655.0
29,10032,18.16882824,213761,90306.65,0.4818,34568.0
30,10033,19.17942236,62000,97114.56,0.5077,41556.0
31,10034,19.56202013,17985,36854.17,0.4665,41171.0
32,10035,18.76738996,488802,23984.61,0.575,24533.0
33,10036,21.03201322,10413359,52182.9,0.5382,66599.0
34,10037,17.75754823,57218,65825.32,0.4722,37341.0
35,10038,18.77951596,1601752,67481.89,0.599,66074.0
36,10039,19.8046286,17162,57392.18,0.4971,33595.0
37,10040,21.38629949,13358,118931.3,0.4849,42721.0
38,10044,19.34319313,24568,51084.92,0.4659,83066.0
39,10065,20.07697102,6991252,84897.65,0.5694,115519.0
40,10075,19.64319431,3270318,134653.3,0.564,102941.0
41,10128,14.10323416,5637982,127735.4,0.5626,96296.0
42,10280,19.06313462,1510267,62718.66,0.4223,129574.0
43,10301,26.07614327,1536,10627.23,0.4773,56848.0
44,10302,21.76005547,234,14075.08,0.4726,56841.0
45,10303,29.38854953,425,7821.156999999998,0.4642,51537.0
46,10304,23.62674021,1433,11119.02,0.4982,53168.0
47,10305,24.88102589,3024,9879.686,0.4316,70758.0
48,10306,33.53762031,954,7480.4540000000015,0.4291,75807.0
49,10307,38.459583,65,7557.248,0.4263,86457.0
50,10308,46.1963765,175,14666.18,0.403,88075.0
51,10309,33.74506542,345,4858.739000000001,0.4058,86297.0
52,10310,21.24613063,558,14050.65,0.473,61925.0
53,10312,47.54319022,615,7824.309,0.3988,85324.0
54,10314,23.82714961,4016,6363.721,0.4088,77242.0
55,10451,19.77646569,27673,46379.59,0.4674,26754.0
56,10452,21.66824817,14485,76101.62,0.4575,25979.0
57,10453,22.16424843,13339,87110.88,0.4687,25470.0
58,10454,19.73830418,21649,36541.09,0.5075,20232.0
59,10455,21.17355769,6175,54166.66,0.4691,22609.0
60,10456,20.91013809,10795,86133.38,0.4789,23452.0
61,10457,22.77059363,6078,66223.05,0.4926,24949.0
62,10458,26.17768276,4033,74192.66,0.5035,24618.0
63,10459,22.31377953,5443,58725.94,0.4889,24461.0
64,10460,28.03956114,6472,42633.86,0.4947,22307.0
65,10461,24.10495421,4190,21557.02,0.4351,52347.0
66,10462,21.16853533,18944,52277.64,0.4246,45864.0
67,10463,26.75443226,5730,48696.15,0.4828,54258.0
68,10464,23.22381678,621,1212.956,0.4045,70078.0
69,10465,25.71319727,3154,13080.52,0.4447,65450.0
70,10466,32.59998959,937,34986.47,0.4427,44012.0
71,10467,23.17402577,8726,42376.04,0.4694,36048.0
72,10468,22.80106351,4557,66796.39,0.4436,33776.0
73,10469,23.22446085,2738,29007.29,0.4346,57776.0
74,10470,31.56980261,602,10423.26,0.3856,58600.0
75,10471,30.05056371,3354,8532.369,0.5008,71798.0
76,10472,20.16214429,8803,65584.59,0.4759,30288.0
77,10473,22.39930747,8909,26910.97,0.4809,35866.0
78,10474,21.66162023,4295,8165.422,0.4471,25676.0
79,10475,28.18256993,1709,25087.4,0.4437,43629.0
80,11201,19.72814966,1733859,38471.77,0.5413,95369.0
81,11203,23.01395294,6377,37086.12,0.4367,48400.0
82,11204,21.76250927,8278,50953.84,0.4632,45472.0
83,11205,21.31374859,161786,45283.84,0.5452,44688.0
84,11206,21.57847762,137666,56833.41,0.5056,28559.0
85,11207,24.79887866,6388,34629.88,0.4931,32945.0
86,11208,23.21856245,4526,26939.11,0.5083,35079.0
87,11209,26.10686697,11716,33588.78,0.479,58261.0
88,11210,21.48876642,8346,39792.05,0.4557,55429.0
89,11211,20.70455171,1845054,40581.32,0.5275,46848.0
90,11212,21.83526476,3408,54956.94,0.5001,28348.0
91,11213,24.2979478,10084,56882.03,0.4842,34794.0
92,11214,25.50011502,6119,38060.13,0.4557,43398.0
93,11215,21.40701233,311952,31628.39,0.4729,95654.0
94,11216,22.28229542,44936,57495.47,0.4944,43996.0
95,11217,20.45112207,560576,51667.01,0.5088,81862.0
96,11218,21.15697331,44886,52340.8,0.4661,52445.0
97,11219,22.69804587,7672,65429.87,0.4798,34316.0
98,11220,22.92031337,15344,57552.4,0.4684,37580.0
99,11221,22.61369723,29633,58786.51,0.4747,39178.0
100,11222,21.61286647,303933,22428.9,0.4574,63739.0
101,11223,23.10768588,14445,35967.79,0.4897,41328.0
102,11224,27.67009438,1199,27547.02,0.5166,27481.0
103,11225,20.550347199999997,31061,66956.75,0.4576,42922.0
104,11226,22.16870649,17374,76257.16,0.4668,40734.0
105,11228,24.29647505,3501,29884.86,0.4508,61893.0
106,11229,24.03816933,6633,37400.8,0.4616,51725.0
107,11230,22.02767814,20394,45776.63,0.5055,42170.0
108,11231,20.74001537,469810,24004.04,0.5076,78174.0
109,11232,21.86531729,24222,22463.25,0.4425,43595.0
110,11233,24.6517401,6920,50893.44,0.5133,34492.0
111,11234,23.15715095,6651,12488.83,0.4164,68431.0
112,11235,22.52476479,7592,33232.58,0.5204,41639.0
113,11236,22.823558,8211,27041.18,0.4049,61061.0
114,11237,21.97511096,31882,56623.82,0.482,40372.0
115,11238,21.11553518,148019,46936.16,0.4713,65315.0
116,11239,21.80396722,1285,22569.16,0.4662,26275.0
